Nature,When.Reported,Occurred.Between,Case..,Location,Disposition
Investigation,7/24/13 15:36,2013-07-24 15:36:01 and 2013-07-24 15:36:01,1307-0195,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Sick/Inj Person,1/9/13 15:34,2013-01-09 15:34:30 and 2013-01-09 15:34:30,1301-0041,104 N WOODWARD AVE; Parking Garage #1,CLO
Lost Property,4/28/13 12:32,2013-04-28 12:32:23 and 2013-04-28 12:32:23,1304-0325,1641 LEVY AVE; ALUMNI VILLAGE,CLO
Crim Mischief,3/21/13 2:52,2013-03-21 01:49:00 and 2013-03-21 02:49:00,1303-0174,202 VARSITY DR; WILDWOOD NO.2,CLO
Information Bul,4/5/13 13:28,2013-04-05 13:28:35 and 2013-04-05 13:28:35,1304-0041,830 W JEFFERSON ST; TANNER HALL,CLO
Sick/Inj Person,2/20/13 10:50,2013-02-20 10:50:40 and 2013-02-20 10:50:40,1302-0207,118 VARSITY WAY; LEACH CENTER,CLO
Intox Person 2,7/31/13 19:33,2013-07-31 19:32:18 and 2013-07-31 19:32:18,1307-0281,602 W CALL ST; THEATRE (FINE ARTS) ANNEX,CLO
Crim Mischief,11/3/13 22:17,2013-11-01 21:00:00 and 2013-11-02 01:00:00,1311-0105,ACADEMIC WAY,CLO
Sick/Inj Person,10/3/13 7:24,2013-10-03 07:24:01 and 2013-10-03 07:24:01,1310-0025,111 N WOODWARD AVE; FISHER LECTURE HALL,CLO
Suicide Attempt,4/15/13 11:38,2013-04-15 11:30:00 and 2013-04-15 11:38:08,1304-0150,1110 W CALL ST; FRESH FOOD DINER,CLO
Traff Crash 4,11/1/13 18:25,2013-11-01 18:25:01 and 2013-11-01 18:25:01,1311-0025,1017 ACADEMIC WAY; LOVE BLDG,CLO
Traff Hit/Run 3,11/2/13 21:54,2013-11-02 21:54:48 and 2013-11-02 21:54:48,1311-0084,806 UNIVERSITY WAY; DEVINEY HALL,PEN
Found Property,11/8/13 15:24,2013-11-08 15:24:01 and 2013-11-08 15:24:01,1311-0161,116 HONORS WAY; STROZIER LIBRARY,CLO
Sick/Inj Person,9/25/13 14:01,2013-09-25 14:01:18 and 2013-09-25 14:01:18,1309-0298,74 CHIEFTAN WAY; KELLUM HALL,CLO
Theft,9/26/13 9:05,2013-09-25 19:00:00 and 2013-09-25 20:00:00,1309-0303,139 CHIEFTAN WAY; TULLY GYM,CLO
Crim Mischief,2/27/13 1:07,2013-02-27 01:07:37 and 2013-02-27 01:07:37,1302-0278,530 W COLLEGE AVE,EXP
Crim Mischief,6/10/13 10:18,2013-06-10 08:00:00 and 2013-06-10 10:18:32,1306-0062,504 W CALL ST; PARKING GARAGE #4,CLO
Citizen Assist,9/6/13 4:47,2013-09-06 04:47:07 and 2013-09-06 04:47:07,1309-0074,830 W JEFFERSON ST; TANNER HALL,CLO
Lost Property,8/22/13 8:26,2013-02-21 14:05:00 and 2013-02-21 20:15:00,1308-0119,87 N WOODWARD AVE; OGLESBY UNION - ACTIVITIES BLD,CLO
Traff Crash 4,10/15/13 10:46,2013-10-15 10:46:12 and 2013-10-15 10:46:12,1310-0179,W JEFFERSON ST,CLO
Traff Crash 4,6/24/13 17:51,2013-06-24 17:51:06 and 2013-06-24 17:51:06,1306-0148,821 ACADEMIC WAY; ROVETTA BLDG B,CLO
Found Property,10/17/13 9:35,2013-10-17 09:35:39 and 2013-10-17 09:35:39,1310-0203,1021 ATOMIC WAY; CAROTHERS HALL,CLO
Theft,11/4/13 15:41,2013-11-01 23:30:00 and 2013-11-02 02:30:00,1311-0118,714 UNIVERSITY WAY; LANDIS HALL,CLO
Drugs,2/6/13 13:26,2013-02-06 13:26:15 and 2013-02-06 13:26:15,1302-0060,1106 W CALL ST; SALLEY HALL,CLO
Fire Alarm,10/19/13 8:41,2013-10-19 08:41:10 and 2013-10-19 08:41:10,1310-0230,989 LEARNING WAY; CLASSROOM FACILITY,CLO
Theft,11/25/13 11:41,2013-10-21 11:41:57 and 2013-10-21 11:41:57,1311-0380,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Fire Alarm,1/9/13 22:32,2013-01-09 22:32:17 and 2013-01-09 22:32:17,1301-0045,89 N WOODWARD AVE; UNION,CLO
Found Property,2/25/13 9:46,2013-02-25 09:46:50 and 2013-02-25 09:46:50,1302-0259,HERITAGE GROVE CIR,CLO
Traff Crash 4,10/2/13 12:36,2013-10-02 12:36:12 and 2013-10-02 12:36:12,1310-0017,636 W CALL ST; PEPPER BLDG,CLO
Alcohol Offense,1/29/13 1:34,2013-01-29 01:34:09 and 2013-01-29 01:34:09,1301-0266,511 W COLLEGE AVE; Commuter Lot,PEN
Information Bul,5/6/13 11:31,2013-05-06 11:31:24 and 2013-05-06 11:31:24,1305-0059,830 W JEFFERSON ST; TANNER HALL,CLO
Theft,10/2/13 17:29,2013-10-02 17:29:44 and 2013-10-02 17:29:44,1310-0021,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,8/31/13 15:08,2013-08-31 15:08:46 and 2013-08-31 15:08:46,1308-0265,806 UNIVERSITY WAY; DEVINEY HALL,CLO
Suspicious Act.,10/7/13 23:01,2013-10-07 23:00:55 and 2013-10-07 23:00:55,1310-0080,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Alcohol Offense,11/2/13 0:31,2013-11-02 00:31:46 and 2013-11-02 00:31:46,1311-0033,400 CHAPEL DR; Bike Trail,PEN
Traffic Offense,6/6/13 1:20,2013-06-06 01:20:36 and 2013-06-06 01:20:37,1306-0030,STADIUM DR,CLO
Theft,5/21/13 11:09,2013-05-21 11:02:00 and 2013-05-21 11:09:06,1305-0142,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Alcohol Offense,3/17/13 13:40,2013-03-17 13:40:53 and 2013-03-17 13:40:53,1303-0136,600 W TENNESSEE ST,CLO
Drugs,2/22/13 23:10,2013-02-22 23:10:46 and 2013-02-22 23:10:46,1302-0237,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Sick/Inj Person,10/23/13 9:10,2013-10-23 09:09:51 and 2013-10-23 09:09:51,1310-0281,150 CONVOCATION WAY; SUWANNEE ROOM,CLO
Theft,4/23/13 15:39,2013-04-18 11:00:00 and 2013-04-22 09:00:00,1304-0245,930 W JEFFERSON ST; RAGANS HALL 3 (C),CLO
Wanted Person,6/8/13 23:16,2013-06-08 23:16:52 and 2013-06-08 23:16:52,1306-0051,530 W CALL ST; FINE ARTS BLDG,CLO
Bomb Threat/Att,1/7/13 13:24,2013-01-07 13:20:00 and 2013-01-07 13:24:23,1301-0021,2525 POTTSDAMER ST; COLLEGE OF ENGINEERING,CLO
Robbery,7/23/13 23:49,2013-07-23 23:47:00 and 2013-07-23 23:49:00,1307-0187,1165 ACADEMIC WAY; MCCOLLUM HALL,CLO
Fire Alarm,7/25/13 11:29,2013-07-25 11:29:13 and 2013-07-25 11:29:13,1307-0213,111 N WOODWARD AVE; FISHER LECTURE HALL,CLO
Traff Crash 4,9/15/13 16:23,2013-09-15 16:23:36 and 2013-09-15 16:23:36,1309-0189,267 CHIEFTAN WAY; CIRCUS LOT,CLO
Information Bul,6/3/13 8:24,2013-06-03 08:24:29 and 2013-06-03 08:24:29,1306-0010,3000 SCHOOLHOUSE RD,CLO
DUI,10/13/13 1:23,2013-10-13 01:23:53 and 2013-10-13 01:23:55,1310-0146,WALKER LOT,PEN
Found Property,4/28/13 13:01,2013-04-28 13:01:12 and 2013-04-28 13:01:12,1304-0327,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,4/16/13 13:04,2013-04-16 13:03:55 and 2013-04-16 13:03:55,1304-0160,960 LEARNING WAY; Wellness Center,CLO
Agency Assist,7/28/13 10:14,2013-07-28 10:14:42 and 2013-07-28 10:14:42,1307-0244,830 W JEFFERSON ST; TANNER HALL,CLO
Fire Alarm,6/21/13 23:44,2013-06-21 23:43:50 and 2013-06-21 23:43:50,1306-0132,89 N WOODWARD AVE; UNION,CLO
Traffic Stop,7/12/13 14:01,2013-07-12 14:00:00 and 2013-07-12 14:20:00,1307-0083,ACADEMIC WAY,PEN
Theft,7/12/13 13:05,2013-07-12 09:25:00 and 2013-07-12 07:30:00,1307-0082,1165 ACADEMIC WAY; MCCOLLUM HALL room 325,CLO
Prowler,4/1/13 21:03,2013-04-01 21:03:07 and 2013-04-01 21:03:07,1304-0006,923 LEARNING WAY; RAGANS HALL 1 (A),CLO
Burglary,2/18/13 10:14,2013-02-12 13:00:00 and 2013-02-18 10:00:39,1302-0186,403 STADIUM DR; UNIVERSITY CENTER D,CLO
Theft,4/17/13 22:55,2013-04-17 18:00:00 and 2013-04-17 22:55:26,1304-0179,1001 W ST AUGUSTINE ST; INTRAMURAL FIELDS FACILITY,CLO
Theft,6/29/13 18:56,2013-06-29 18:55:59 and 2013-06-29 18:55:59,1306-0190,1106 W CALL ST; SALLEY HALL,CLO
Found Property,5/3/13 18:25,2013-05-03 18:24:23 and 2013-05-03 18:24:23,1305-0036,130 COLLEGIATE LOOP; MONTGOMERY,CLO
Security Check,4/28/13 2:09,2013-04-28 02:09:16 and 2013-04-28 02:09:16,1304-0319,530 W CALL ST; FINE ARTS BLDG,CLO
Theft,1/14/13 16:39,2013-01-14 16:39:47 and 2013-01-14 16:39:47,1301-0092,1106 W CALL ST; SALLEY HALL,CLO
Theft,8/13/13 14:47,2013-08-13 14:47:16 and 2013-08-13 14:47:16,1308-0070,1110 W CALL ST; FRESH FOOD DINER,CLO
Sick/Inj Person,11/19/13 20:26,2013-11-19 20:26:24 and 2013-11-19 20:26:24,1311-0292,3950 TYSON RD; INTRAMURAL COMPLEX,CLO
Special Assignm,3/17/13 11:07,2013-03-17 11:07:47 and 2013-03-17 11:07:47,1303-0133,ALL OVER CAMPUS,CLO
Resisting,9/18/13 2:16,2013-09-18 02:16:14 and 2013-09-18 02:16:14,1309-0222,500 W COLLEGE AVE,PEN
Baker Act,10/29/13 13:21,2013-10-29 13:00:00 and 2013-10-29 13:20:30,1310-0384,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Special Assignm,12/18/13 16:21,2013-12-18 16:21:44 and 2013-12-18 16:21:44,1312-0180,830 W JEFFERSON ST; TANNER HALL,CLO
Traff Crash 4,10/22/13 18:56,2013-10-22 18:56:25 and 2013-10-22 18:56:25,1310-0273,104 N WOODWARD AVE; FSU Bookstore,CLO
Sick/Inj Person,5/27/13 15:48,2013-05-27 15:48:45 and 2013-05-27 15:48:45,1305-0186,W CALL ST & CHIEFTAN WAY,CLO
Mental Health,2/27/13 9:26,2013-02-27 09:26:41 and 2013-02-27 09:26:41,1302-0281,104 N WOODWARD AVE; Suntrust Bank,CLO
Special Assignm,7/17/13 22:03,2013-07-17 22:03:49 and 2013-07-17 22:03:49,1307-0139,W TENNESSEE ST,CLO
Crim Mischief,1/31/13 11:22,2013-01-31 11:22:55 and 2013-01-31 11:22:55,1301-0301,old fhp,CLO
Baker Act,10/21/13 7:00,2013-10-21 07:00:35 and 2013-10-21 07:00:35,1310-0250,116 HONORS WAY; STROZIER LIBRARY,PAT
Traffic Offense,11/29/13 21:46,2013-11-29 21:46:32 and 2013-11-29 21:46:34,1311-0403,W ST AUGUSTINE ST & S WOODWARD AVE,CLO
Citizen Dispute,9/26/13 0:35,2013-09-26 00:35:03 and 2013-09-26 00:35:03,1309-0302,668 UNIVERSITY WAY; BROWARD HALL,CLO
Baker Act,10/12/13 10:02,2013-10-12 10:02:52 and 2013-10-12 10:02:52,1310-0134,938 W JEFFERSON ST; WILDWOOD NO.1,CLO
Traff Crash 4,11/3/13 0:30,2013-11-03 00:30:46 and 2013-11-03 00:30:46,1311-0087,SPIRIT WAY,CLO
Fraud,11/2/13 21:49,2013-11-02 21:49:43 and 2013-11-02 21:49:43,1311-0082,411 STADIUM DR; CAMPBELL STADIUM,CLO
Intox Person 2,6/23/13 1:18,2013-06-23 01:18:33 and 2013-06-23 01:18:33,1306-0138,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Special Assignm,4/3/13 15:35,2013-04-03 15:35:00 and 2013-04-03 15:35:00,1304-0021,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,8/3/13 3:42,2013-08-03 03:00:00 and 2013-08-03 03:30:00,1308-0012,126 CONVOCATION WAY; MURPHREE HALL,CLO
Sick/Inj Person,10/22/13 20:26,2013-10-22 20:26:30 and 2013-10-22 20:26:30,1310-0274,812 W JEFFERSON ST; DORMAN HALL,CLO
Found Property,2/28/13 23:40,2013-02-28 23:40:39 and 2013-02-28 23:40:39,1302-0300,646 W JEFFERSON ST; DODD LECTURE HALL,CLO
Disturbance,4/16/13 19:54,2013-04-16 19:54:22 and 2013-04-16 19:54:22,1304-0167,1165 ACADEMIC WAY; MCCOLLUM HALL,CLO
Alcohol Offense,11/17/13 2:08,2013-11-17 02:08:14 and 2013-11-17 02:08:14,1311-0255,500 W COLLEGE AVE,PEN
Property Damage,11/23/13 19:16,2013-11-23 19:16:28 and 2013-11-23 19:16:28,1311-0361,814 W TENNESSEE ST; DEGRAFF LOT,CLO
Theft,2/3/13 23:59,2013-02-03 23:59:29 and 2013-02-03 23:59:29,1302-0031,142 COLLEGIATE LOOP; SHORES BLDG,CLO
Traffic Offense,4/23/13 22:37,2013-04-23 22:37:37 and 2013-04-23 22:37:39,1304-0252,W TENNESSEE ST & STADIUM DR,PEN
Crim Mischief,3/21/13 11:28,2013-03-21 02:37:00 and 2013-03-21 10:00:00,1303-0177,418 W COLLEGE AVE,CLO
Wanted Person,5/22/13 11:39,2013-05-22 11:39:16 and 2013-05-22 11:39:16,1305-0153,530 W CALL ST; FINE ARTS BLDG,PEN
Sick/Inj Person,10/24/13 15:10,2013-10-24 15:10:09 and 2013-10-24 15:10:09,1310-0298,1115 W CALL ST; THRASHER MEDICAL SCHOOL,CLO
Theft,6/27/13 17:57,2013-06-27 17:57:51 and 2013-06-27 17:57:51,1306-0176,116 HONORS WAY; STROZIER LIBRARY,CLO
Disturbance,3/29/13 2:25,2013-03-29 02:25:27 and 2013-03-29 02:25:27,1303-0258,814 W TENNESSEE ST; DEGRAFF LOT,CLO
Traff Crash 4,4/13/13 8:10,2013-04-13 08:09:52 and 2013-04-13 08:09:52,1304-0128,W ST AUGUSTINE ST,CLO
Sick/Inj Person,9/20/13 17:59,2013-09-20 17:59:49 and 2013-09-20 17:59:49,1309-0254,118 VARSITY WAY; LEACH CENTER,CLO
Agency Assist,5/1/13 16:45,2013-05-01 16:44:50 and 2013-05-01 16:44:50,1305-0004,1115 W CALL ST; THRASHER MEDICAL SCHOOL,PEN
Alcohol Offense,9/21/13 2:55,2013-09-21 02:54:51 and 2013-09-21 02:54:51,1309-0256,HERITAGE GROVE CIR,PEN
Special Assignm,7/19/13 1:19,2013-07-19 01:19:00 and 2013-07-19 01:19:00,1307-0150,459 W COLLEGE AVE; Potbellies,CLO
Sick/Inj Person,11/20/13 21:16,2013-11-20 21:16:48 and 2013-11-20 21:16:48,1311-0306,139 CHIEFTAN WAY; TULLY GYM,CLO
Crim Mischief,2/22/13 0:59,2013-02-22 00:59:16 and 2013-02-22 00:59:16,1302-0224,916 W JEFFERSON ST; RAGANS HALL 4 (D),CLO
Sick/Inj Person,10/14/13 10:33,2013-10-14 10:30:00 and 2013-10-14 10:30:00,1310-0156,139 CHIEFTAN WAY; TULLY GYM,CLO
Hazing,2/25/13 17:18,2013-02-25 17:18:29 and 2013-02-25 17:18:29,1302-0264,318 S COPELAND ST; DELTA TAU DELTA,CLO
Alcohol Offense,10/26/13 15:46,2013-10-26 15:46:11 and 2013-10-26 15:46:11,1310-0340,923 LEARNING WAY; RAGANS HALL 1 (A),CLO
Sick/Inj Person,4/16/13 17:37,2013-04-16 17:00:00 and 2013-04-16 17:37:46,1304-0165,1800 E PAUL DIRAC DR; Magnetic Lab,CLO
Burglary,12/7/13 15:08,2013-12-06 22:00:00 and 2013-12-07 15:08:43,1312-0078,1106 W CALL ST; Room 1201,CLO
Sick/Inj Person,10/29/13 20:44,2013-10-29 20:44:19 and 2013-10-29 20:44:19,1310-0386,749 W JEFFERSON ST; DELTA ZETA,CLO
Burglary,4/23/13 13:16,2013-04-23 13:16:57 and 2013-04-23 13:16:57,1304-0242,806 UNIVERSITY WAY; DEVINEY HALL,CLO
Found Property,4/21/13 11:26,2013-04-21 11:26:15 and 2013-04-21 11:26:15,1304-0223,W CALL ST,CLO
Suspicious Act.,1/8/13 20:49,2013-01-08 20:49:20 and 2013-01-08 20:49:20,1301-0030,CHIEFTAN WAY,CLO
Crim Mischief,8/21/13 12:43,2013-08-21 12:43:38 and 2013-08-21 12:43:38,1308-0113,89 N WOODWARD AVE; UNION,CLO
Theft,4/1/13 6:09,2013-03-29 13:20:00 and 2013-04-01 06:09:47,1304-0001,122 N COPELAND ST; HOUSEWRIGHT MUSIC BLDG,CLO
Marchman Act,7/31/13 1:30,2013-07-31 01:30:15 and 2013-07-31 01:30:15,1307-0275,1944 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 10,CLO
Welfare Check,7/14/13 13:23,2013-07-14 13:23:00 and 2013-07-14 13:23:00,1307-0095,823 W ST AUGUSTINE ST,CLO
Welfare Check,9/16/13 15:58,2013-09-16 15:58:17 and 2013-09-16 15:58:17,1309-0202,303 S LIPONA RD,CLO
Crim Mischief,5/22/13 14:51,2013-05-22 14:51:16 and 2013-05-22 14:51:16,1305-0155,W JEFFERSON ST & S COPELAND ST,CLO
Theft,2/28/13 20:18,2013-02-28 20:18:31 and 2013-02-28 20:18:31,1302-0297,414 WALKER ST; Parking Garage #6,CLO
Crim Mischief,8/23/13 23:04,2013-08-23 22:30:00 and 2013-08-23 23:00:00,1308-0139,938 W JEFFERSON ST; WILDWOOD NO.1,CLO
Fire Alarm,2/9/13 10:43,2013-02-09 10:43:25 and 2013-02-09 10:43:25,1302-0097,107 CHIEFTAN WAY; BIOMEDICAL RESEARCH FACILITY,CLO
Welfare Check,10/9/13 13:36,2013-10-09 13:36:11 and 2013-10-09 13:36:11,1310-0096,924 W PENSACOLA ST,CLO
Sick/Inj Person,1/14/13 21:12,2013-01-14 21:11:47 and 2013-01-14 21:11:47,1301-0095,1147 ACADEMIC WAY; ROGERS HALL; 503,CLO
DUI,6/21/13 1:24,2013-06-21 01:24:23 and 2013-06-21 01:24:24,1306-0123,W TENNESSEE ST,PEN
Sick/Inj Person,9/25/13 14:19,2013-09-25 14:19:03 and 2013-09-25 14:19:03,1309-0300,114 N COPELAND ST; KUERSTEINER MUSIC BLDG,CLO
Traff Crash 4,7/13/13 0:58,2013-07-13 00:58:11 and 2013-07-13 00:58:11,1307-0088,PENNELL CIR,CLO
Alcohol Offense,2/7/13 22:57,2013-02-07 22:57:15 and 2013-02-07 22:57:15,1302-0071,500 W COLLEGE AVE,CLO
Indecent Expos,8/3/13 10:19,2013-08-03 10:10:39 and 2013-08-03 10:19:39,1308-0015,508 S MACOMB ST; PARKING GARAGE #5,CLO
Disturbance,11/2/13 1:20,2013-11-02 01:20:57 and 2013-11-02 01:20:57,1311-0035,117 WESTRIDGE DR,PEN
Traff Crash 4,4/23/13 20:40,2013-04-23 20:40:43 and 2013-04-23 20:40:43,1304-0249,860 TRADITIONS WAY; PARKING GARAGE #2,CLO
Alcohol Offense,2/8/13 2:44,2013-02-08 02:44:04 and 2013-02-08 02:44:04,1302-0077,HERITAGE GROVE CIR,CLO
DUI,5/25/13 1:24,2013-05-25 01:24:45 and 2013-05-25 01:24:47,1305-0173,STADIUM DR & W PENSACOLA ST,PEN
Fire Alarm,5/15/13 9:29,2013-05-15 09:29:10 and 2013-05-15 09:29:10,1305-0103,145 CONVOCATION WAY; EPPES HALL,CLO
Stalking,10/30/13 17:27,2013-10-30 17:27:36 and 2013-10-30 17:27:36,1310-0406,120 CONVOCATION WAY; SANDELS BLDG,CLO
Found Property,8/3/13 10:02,2013-08-03 10:01:44 and 2013-08-03 10:01:44,1308-0014,113 S COPELAND ST; MECCA LOT,CLO
Marchman Act,11/2/13 4:19,2013-11-02 04:19:50 and 2013-11-02 04:19:50,1311-0042,411 STADIUM DR; CAMPBELL STADIUM,CLO
Drugs,1/29/13 0:56,2013-01-29 00:56:50 and 2013-01-29 00:56:50,1301-0265,806 UNIVERSITY WAY; DEVINEY HALL,CLO
Suspicious Act.,3/23/13 2:15,2013-03-23 01:45:00 and 2013-03-23 02:15:43,1303-0198,104 N WOODWARD AVE; Parking Garage #1,CLO
Sick/Inj Person,1/25/13 10:24,2013-01-25 10:23:57 and 2013-01-25 10:23:57,1301-0236,143 HONORS WAY; JOHNSTON BLDG,CLO
Special Assignm,1/17/13 21:10,2013-01-17 21:10:14 and 2013-01-17 21:10:14,1301-0138,830 W JEFFERSON ST; TANNER HALL,CLO
Marchman Act,1/16/13 18:23,2013-01-16 18:23:46 and 2013-01-16 18:23:46,1301-0124,111 N WOODWARD AVE; FISHER LECTURE HALL,CLO
Sick/Inj Person,2/22/13 9:39,2013-02-22 09:39:27 and 2013-02-22 10:00:00,1302-0231,625 UNIVERSITY WAY; DIFFENBAUGH BLDG,CLO
Official Paper,10/2/13 16:07,2013-10-02 16:07:32 and 2013-10-02 16:07:32,1310-0019,830 W JEFFERSON ST; TANNER HALL,CLO
Theft,2/12/13 13:38,2013-02-12 13:37:52 and 2013-02-12 13:37:52,1302-0124,1017 ACADEMIC WAY; LOVE BLDG,CLO
Theft,11/12/13 8:49,2013-11-02 17:00:00 and 2013-11-02 23:00:00,1311-0180,403 STADIUM DR; UNIVERSITY CENTER D,PEN
DUI,7/6/13 2:17,2013-07-06 02:17:19 and 2013-07-06 02:17:20,1307-0032,W TENNESSEE ST & N MACOMB ST,PEN
Drugs,4/7/13 19:22,2013-04-07 19:22:39 and 2013-04-07 19:22:39,1304-0068,411 STADIUM DR; CAMPBELL STADIUM,CLO
Agency Assist,10/10/13 17:29,2013-10-10 17:29:18 and 2013-10-10 17:29:18,1310-0113,641 UNIVERSITY WAY; DODD HALL,CLO
Sick/Inj Person,9/8/13 12:05,2013-09-08 12:05:37 and 2013-09-08 12:05:37,1309-0094,810 W TENNESSEE ST; DEGRAFF WEST,CLO
Sick/Inj Person,12/10/13 11:57,2013-12-10 11:57:48 and 2013-12-10 11:57:48,1312-0110,641 UNIVERSITY WAY; DODD HALL,CLO
Special Assignm,11/21/13 19:51,2013-11-21 19:51:20 and 2013-11-21 19:51:20,1311-0322,830 W JEFFERSON ST; TANNER HALL,CLO
Sick/Inj Person,8/2/13 15:35,2013-08-02 15:35:01 and 2013-08-02 15:35:01,1308-0008,143 HONORS WAY; JOHNSTON BLDG,CLO
Drugs,2/8/13 0:13,2013-02-08 00:13:07 and 2013-02-08 00:13:07,1302-0075,1900 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 1,CLO
Found Property,9/5/13 23:19,2013-09-05 23:19:24 and 2013-09-05 23:19:24,1309-0068,400 CHAPEL DR; Bike Trail,CLO
Theft,4/26/13 10:40,2013-04-26 10:40:22 and 2013-04-26 10:40:22,1304-0306,89 N WOODWARD AVE; UNION,CLO
Theft,8/29/13 2:31,2013-08-29 02:31:33 and 2013-08-29 02:31:33,1308-0221,W JEFFERSON ST,CLO
Fire Alarm,4/25/13 20:30,2013-04-25 20:30:13 and 2013-04-25 20:30:13,1304-0280,250 S WOODWARD AVE; STAVROS CENTER,CLO
Found Property,5/10/13 18:03,2013-05-10 18:03:03 and 2013-05-10 18:03:03,1305-0078,411 STADIUM DR; CAMPBELL STADIUM,CLO
Investigation,5/6/13 8:18,2013-05-06 08:18:43 and 2013-05-06 08:18:43,1305-0055,122 N COPELAND ST; HOUSEWRIGHT MUSIC BLDG,CLO
Drugs,1/7/13 4:33,2013-01-07 04:33:37 and 2013-01-07 04:33:37,1301-0018,89 N WOODWARD AVE; UNION,PEN
Sick/Inj Person,1/30/13 15:02,2013-01-30 15:02:01 and 2013-01-30 15:02:01,1301-0294,118 VARSITY WAY; LEACH CENTER,CLO
Sick/Inj Person,2/13/13 17:34,2013-02-13 17:34:10 and 2013-02-13 17:34:10,1302-0137,1117 SPIRIT WAY; Womens Softball Field,CLO
Sick/Inj Person,8/26/13 19:12,2013-08-26 19:12:32 and 2013-08-26 19:12:32,1308-0168,874 TRADITIONS WAY; STUDENT SERVICES BLDG,CLO
Rape,6/27/13 6:41,2013-06-27 06:41:31 and 2013-06-27 06:41:31,1306-0171,126 CONVOCATION WAY; MURPHREE HALL,CLO
Marchman Act,10/6/13 3:26,2013-10-06 03:26:58 and 2013-10-06 03:26:58,1310-0064,126 CONVOCATION WAY; MURPHREE HALL,CLO
Drugs,4/3/13 22:49,2013-04-03 22:49:24 and 2013-04-03 22:49:24,1304-0030,1147 ACADEMIC WAY; ROGERS HALL,PEN
Found Property,3/14/13 8:30,2013-03-14 08:30:00 and 2013-03-14 08:30:00,1303-0113,CONVOCATION WAY,CLO
Traff Crash 4,2/12/13 15:26,2013-02-12 15:26:02 and 2013-02-12 15:26:02,1302-0127,100 S WOODWARD AVE; WOODJEFF LOT,CLO
Agency Assist,7/9/13 12:14,2013-07-09 11:55:00 and 2013-07-09 12:13:52,1307-0054,ROBERTS AVE,CLO
Agency Assist,4/19/13 19:42,2013-04-19 19:42:19 and 2013-04-19 19:42:19,1304-0208,814 W TENNESSEE ST; DEGRAFF LOT,CLO
